Change Component Footprint: Designator=L2 Old Footprint=RES_0201(0603)_M New Footprint=IND_0402(1005)_M
Change Component Comment : Designator=L2 Old Comment=Inductor Iron New Comment=1uh
Change component parameters: Designator = "L2"; Footprint = "IND_0402(1005)_M"; UniqueID = "\KTNOQFHS"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1005"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/29699/inductor-commercial-decoupling-mlz-en-29699052.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/29699/inductor-commercial-decoupling-mlz-en-29699052.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/29699/inductor-commercial-decoupling-mlz-en-29699053.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/29699/inductor-commercial-decoupling-mlz-en-29699053.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Core Material"; Value = "Ferrite"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "450mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance (DCR)"; Value = "455mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description 1"; Value = "FIXED IND 1UH 450MA 350 MOHM SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.022inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance"; Value = "1uh"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "0.039inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TDK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "MLZ1005M1R0WT000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "10000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.29, 10=0.258, 100=0.1771, 500=0.1513, 1000=0.1159, 2500=0.1095 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Saturation Current"; Value = "100mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Self Resonant Frequency"; Value = "170MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shielding"; Value = "Shielded"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "22743"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "445-6379-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Test Frequency"; Value = "2MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.02inch"; VariantName = "[No Variations]"
